MonthYear,Flights,AverageDelayDep,AverageDelayArr,Cancelled,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateDelay,Carrier
2024 Apr,81216,17.660484773180062,12.758427666647924,0.009690208825847124,0.12935874704491726,0.020919523246650907,0.11590080772261624,0.001686859732072498,0.1392336485421592,AA
2024 Mar,82259,21.690019901260488,16.548121848717916,0.010843798247000328,0.14557677579353018,0.020350356799863845,0.13118321399482125,0.002479971796399178,0.16156286850071117,AA
2024 Feb,74870,10.589554934227364,4.836310042222071,0.0016695605716575397,0.10585014024308802,0.006638172832910378,0.09826365700547617,0.0018832643248297047,0.09683451315613731,AA
2024 Jan,77346,22.701986928790983,19.17455757750739,0.016135288185555815,0.1508546014014946,0.03377033072169214,0.1533757401804877,0.0028702195330075246,0.16325343262741449,AA
2023 Dec,75408,10.1371240563831,4.062805655953855,4.7740292807129216e-4,0.10532039040950562,0.0048933800127307445,0.09147570549543815,0.0017106938255887969,0.08908869085508168,AA
2023 Nov,76407,8.245369703813813,2.079740052159043,1.439658670017145e-4,0.09221668171764368,0.003743112542044577,0.07567369481853757,0.001701414791838444,0.07125001635975761,AA
2023 Oct,81344,11.042859966905787,4.572916021857899,0.005335365853658537,0.09731510621557829,0.0063311369000786785,0.07754720692368214,0.0012293469708890637,0.08729592840283242,AA
2023 Sep,76972,14.786057409124941,8.611583610445324,0.008314711843267682,0.11120927090370525,0.013966117549238684,0.09602193005248662,0.0010653224549186718,0.10562282388400977,AA
2023 Aug,85157,24.73851867727739,17.685768224378474,0.014068132977911388,0.1447913853235788,0.018765339314442735,0.09807766830677454,0.0017262233286752704,0.15519569735899574,AA
2023 Jul,83013,29.637139886274305,24.98483601012837,0.016214327876356713,0.18265813788201848,0.028838856564634453,0.14268849457313915,0.0020599183260453183,0.189500439690169,AA
2023 Jun,80416,26.729328790745,22.70075661730317,0.011863310783923598,0.16848637087146837,0.034930859530441706,0.14922403501790688,0.0019772184639872663,0.17745224830879427,AA
2023 May,79782,16.54898429531609,10.073208014375473,0.005026196385149532,0.12749743049810736,0.012509087262791105,0.08944373417562859,0.0018299867137950916,0.11462485272367201,AA
2023 Apr,77039,18.97534607780695,15.276590394755132,0.016030841521826607,0.13724217604070665,0.019496618595776165,0.1286101844520308,0.0014797699866301484,0.14381027791118783,AA
2023 Mar,78705,18.684192951843492,15.65218343425044,0.010914173178324122,0.14094403151006923,0.014738580776316625,0.1439425703576647,0.0017533828854583572,0.14850390699447302,AA
2023 Feb,71289,14.331758778117491,9.490578213754068,0.020297661630826636,0.11712886981161189,0.011937325534093619,0.10530376355398449,0.0013045490889197493,0.11315911290661954,AA
2023 Jan,74999,14.610332464172885,10.787077626829435,0.018893585247803303,0.11130815077534367,0.012386831824424325,0.13202842704569395,0.0018533580447739303,0.10592141228549715,AA
2024 Apr,82812,8.166404700890126,2.452300500160201,0.0014128387190262281,0.08479447423078781,0.0048181422982176494,0.08206540114959185,3.1396415978360623e-4,0.06160942858522919,DL
2024 Mar,82668,8.725539594459807,2.0032756256779747,0.0013427202787051821,0.08785745391203367,0.005600716117481976,0.08679295495233948,8.467605361203852e-5,0.06514007838583248,DL
2024 Feb,71218,4.233779014990529,-4.240115460445099,0.001362015220871128,0.06071498778398719,0.0036086382656070094,0.06342497683169986,2.8082788059198517e-4,0.03180375747704232,DL
2024 Jan,74384,11.82588410305129,4.364911424000117,0.006426113142611314,0.09756130350613035,0.017772639277263927,0.10433695418369542,1.8821251882125188e-4,0.06879167562916756,DL
2023 Dec,81022,4.623013962446899,-6.377689883198629,2.7153118905976154e-4,0.054491372713583966,0.0027646811976993904,0.04632075238824023,2.09819555182543e-4,0.030411493174693292,DL
2023 Nov,80353,2.66113213184482,-6.495017314816912,1.36895946635471e-4,0.04863539631376551,0.0016551964456834219,0.043308899481039914,1.6178611875101117e-4,0.026010229860739486,DL
2023 Oct,85367,3.61820483366325,-4.837265783580872,6.677053193857111e-4,0.055325828481731815,0.0019094029308749283,0.04094087879391334,2.108543113849614e-4,0.029425890566612392,DL
2023 Sep,81701,8.480438819791056,1.1255055736098625,0.005116216447779097,0.07520103793099228,0.006058677372369983,0.06491964602636442,1.7135653174379752e-4,0.05144367877994149,DL
2023 Aug,89057,13.756641967390255,5.580066932541952,0.016944204273667426,0.10302390603770618,0.013418372503003694,0.07909541080431634,2.2457527201679824e-4,0.08100430061645912,DL
2023 Jul,89751,18.35968718917891,10.93868235185135,0.015075040946618979,0.13710153647313122,0.014517944089759446,0.10011030517765819,1.894129313322414e-4,0.10716315138549988,DL
2023 Jun,85929,17.149339846405294,10.012664226254621,0.014535255850760511,0.13222544193462044,0.012626703441213095,0.10052485191262554,3.025753820014198e-4,0.10334113046817722,DL
2023 May,84459,6.981213563355602,-1.1254124626220798,0.0049373068589493125,0.07675913756970838,0.00364673983826472,0.05349341100415586,2.3680128819900782e-4,0.04686297493458364,DL
2023 Apr,80230,11.218915369205536,4.39625246045285,0.02289667206780506,0.10209397980805185,0.00603265611367319,0.08571606630936059,2.3681914495824504e-4,0.07176866508787237,DL
2023 Mar,82791,13.116024071146382,6.540635606311185,0.01919290744163013,0.1115700981990796,0.007996038216714378,0.10589315263736397,1.6910050609365753e-4,0.08970781848268532,DL
2023 Feb,69152,10.346332595388791,2.1810822326480404,0.013998149005090235,0.08735828320222119,0.008257172605275335,0.07901434521055067,2.1691346598796854e-4,0.06031640444238778,DL
2023 Jan,75174,13.355143067724155,6.402558486390036,0.007795248357144758,0.10931971160241573,0.011639662649320244,0.10687205682815867,1.9953707398834704e-4,0.0810652619256658,DL
2024 Apr,61044,10.038403267237529,3.752853532429365,0.0056516610969137016,0.09824061332809121,0.006192254767053273,0.10471135574339821,8.190813183932901e-5,0.08452919205818754,UA
2024 Mar,64929,10.038888287114926,3.019358741666951,0.005128679018620339,0.09944708835805265,0.004759044494755811,0.10155708543177933,6.160575397742149e-5,0.0823822945063069,UA
2024 Feb,56834,7.977143261512476,0.5987760532216625,0.00589435901045149,0.08097265721223211,0.006404616954639828,0.09249744871027905,7.038040609494317e-5,0.06328958018087764,UA
2024 Jan,58855,15.91276988374094,8.857359776313361,0.08009514909523405,0.11701639622801802,0.014561209752782262,0.09909098632231755,0,0.09438450429020474,UA
2023 Dec,59844,5.517874767887224,-2.198703126567355,0.001286678697947998,0.07688322973063298,0.002372836040371633,0.07130205200187154,1.1697079072254529e-4,0.052018581645611926,UA
2023 Nov,57897,3.3400352672614453,-4.717625681394639,0.0010535951776430557,0.06770644420263572,0.0012090436464756377,0.05585781646717446,5.181615627752733e-5,0.04160837349085445,UA
2023 Oct,65896,4.593882546090735,-2.671542735372764,0.002018331916960058,0.07237161587956781,0.0028074541702075998,0.0644803933470924,4.552628384120432e-5,0.0526283841204322,UA
2023 Sep,62591,9.577271111377785,3.383343866969447,0.012142320780942947,0.09432666038248311,0.008675368663226343,0.09169049863398891,9.586042721797063e-5,0.0670383921011008,UA
2023 Aug,66801,11.779879165992362,4.751409424500749,0.012185446325653807,0.11660005089744166,0.007904073292315983,0.09128605859193725,1.4969835780901484e-4,0.09074714450382479,UA
2023 Jul,65002,26.396212870506155,20.686033627182045,0.03749115411833482,0.20539368019445556,0.020214762622688533,0.14119565551829175,1.5384142026399187e-5,0.1554875234608166,UA
2023 Jun,62395,26.056753286258967,20.66260141860493,0.05303309560060902,0.1984293613270294,0.012517028608061543,0.13893741485695968,1.1218847664075648e-4,0.14092475358602452,UA
2023 May,62340,13.014517589239643,6.216713191393606,0.008180943214629451,0.1278633301251203,0.010747513634905358,0.10399422521655438,0,0.09606993904395252,UA
2023 Apr,57791,15.679713738089594,10.459298934076926,0.01649045699157308,0.1427211849595958,0.00939592670138949,0.11911889394542403,5.1911197245245797e-05,0.10499904829471716,UA
2023 Mar,61590,11.249775381833036,6.93289019137299,0.006543270011365482,0.12669264490988796,0.004140282513395032,0.13034583536288358,8.118201006656925e-5,0.09550251664231206,UA
2023 Feb,53408,10.146310648484596,4.6654385368241265,0.0074520671060515275,0.12127396644697423,0.006291192330736968,0.11824071300179749,5.6171360095865786e-5,0.08790817855002996,UA
2023 Jan,56657,14.085231917525075,8.315692845193858,0.007324778932876785,0.13549958522336164,0.0080307817215878,0.12960446193762465,7.060027887110154e-5,0.10189385248071729,UA
2024 Apr,120579,11.114640136572483,4.678498452919384,0.003997379311488734,0.11220030021811427,0.003508073545144677,0.08257656805911477,0.0011278912580134186,0.13414441984093417,WN
2024 Mar,125272,13.115751482364859,6.795795165614032,0.009339676863145794,0.12402611916469762,0.003264895587202248,0.10276039338399642,0.0011973944696340763,0.1553579411201226,WN
2024 Feb,105207,7.82067925393642,0.7055533780221271,0.004429363065195282,0.08949974811561968,0.0026424097255886014,0.08207628769948767,8.744665278926307e-4,0.10162821865465226,WN
2024 Jan,115389,12.140889385473965,6.420730560059728,0.03090415897529227,0.13394691001741935,0.00444583105841978,0.109412508991325,0.0020105902642366257,0.15394881661163543,WN
2023 Dec,127773,9.231663332930985,1.8756989959449366,0.006308061953620874,0.10503784054534213,0.0013930955679212352,0.06773731539527131,0.0014791857434669296,0.11607303577438113,WN
