INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,TUITIONFEE_IN,TUITIONFEE_OUT,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10
New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,www.nbccosmetology.com/,1,1,1,1,3,1,5,32,34.27871,-86.196931,NA,NA,45,NA,0.7556,0,0.2222,0,0,0,NA,NA,6100,9500,3904,NA,
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu/,1,1,1,2,1,1,5,13,31.315274,-85.465836,NA,NA,3069,NA,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,4860,8610,,,PS,29800,31399
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,https://www.wallacestate.edu/,1,1,1,2,1,1,5,32,34.072439,-86.781935,NA,NA,4207,NA,0.7754,0.0839,0.0858,0.0062,0.0057,0,4920,8670,8200,11000,6628,34800,39842
George C Wallace State Community College-Selma,Selma,AL,36702-2808,Southern Association of Colleges and Schools Commission on Colleges,https://www.wccs.edu/,1,1,2,2,1,1,5,32,32.445917,-87.013294,NA,NA,856,NA,0.1671,0.7874,0.0093,0.0082,0,0,4620,8370,,,PS,27300,31598
Herzing University-Birmingham,Birmingham,AL,35209,Higher Learning Commission,https://www.herzing.edu/,0,10,1,4,2,1,5,21,33.468466,-86.832465,0.9412,NA,570,NA,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,12750,12750,11756,21500,6862,41600,36909
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu/,1,1,3,3,2,1,5,12,32.351034,-86.284366,0.6595,1086,810,NA,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,28350,28350,20000,27000,6500,43600,49601
Heritage Christian University,Florence,AL,35630-9977,Association for Biblical Higher Education,www.hcu.edu/,1,1,3,4,2,1,5,13,34.856153,-87.663051,1,NA,72,NA,0.8472,0.0833,0.0556,0,0,0,11632,11632,,,PS,PS,42597
J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,https://www.drakestate.edu/,1,1,1,2,1,1,5,12,34.771858,-86.572885,NA,NA,698,NA,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,4890,8640,,,PS,27600,28281
J F Ingram State Technical College,Deatsville,AL,36022,Council on Occupational Education,www.istc.edu/,1,1,1,1,1,1,5,21,32.582312,-86.392369,NA,NA,768,NA,0.4076,0.569,0.0117,0.0026,0,0.0039,4860,4860,,,PS,NA,
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,1,1,3,4,1,1,5,23,33.822938,-85.765321,0.7846,1055,7066,NA,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,11952,21912,14000,22189,7845,38100,45235
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,www.jeffersonstate.edu/,1,1,2,2,1,1,5,12,33.652535,-86.707233,NA,NA,5550,NA,0.578,0.2571,0.087,0.0187,0.0032,0.0004,5220,8910,4500,9689,3500,33800,40719
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,https://calhoun.edu/,1,1,1,2,1,1,5,41,34.645844,-86.949674,NA,NA,6549,NA,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,5000,8750,6010,12000,5500,32200,38192
Lawson State Community College,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu/,1,1,1,2,1,1,5,12,33.450814,-86.888844,NA,NA,2554,NA,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,4920,8670,,,PS,26600,31701
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu/,1,1,3,4,1,1,5,43,32.588132,-88.186329,0.6886,1015,2424,NA,0.4439,0.37,0.0297,0.0017,0.0095,0,10990,20090,13000,24944,10500,40400,44232
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,Southern Association of Colleges and Schools Commission on Colleges,https://www.lbwcc.edu/,1,1,2,2,1,1,5,41,31.322947,-86.452262,NA,NA,1111,NA,0.6841,0.2439,0.0243,0.0072,0.0027,0,4920,8670,,,PS,32000,32307
Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,www.marionmilitary.edu/,1,1,2,2,1,1,5,43,32.623734,-87.322041,0.627,NA,320,NA,0.6031,0.2125,0.0813,0.0219,0.0063,0.0063,9538,15538,5500,9250,5500,49800,59644
Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,www.miles.edu/,1,1,3,3,2,1,5,21,33.482442,-86.908751,NA,NA,1257,NA,0.0318,0.9507,0.0064,0,0,0,12714,12714,15691,31217,12200,29500,32627
University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu/,1,1,3,4,2,1,5,41,30.793247,-88.128934,0.8408,1220,1108,NA,0.6363,0.1625,0.019,0.0135,0.0262,0.0036,25880,25880,19000,26500,9500,38700,43611
University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu/,1,1,3,4,1,1,5,21,33.10625,-86.865099,0.5984,NA,2128,NA,0.6584,0.1706,0.071,0.0038,0.0033,0.0014,13710,26730,16000,24000,11000,36100,42957
Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,https://www.nwscc.edu/,1,1,1,2,1,1,5,13,34.739788,-87.678089,NA,NA,2026,NA,0.7414,0.1032,0.0948,0.0059,0.0059,0.002,5011,8761,5500,10000,5250,30800,33828
University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu/,1,1,3,4,1,1,5,13,34.80731,-87.680407,0.9568,NA,5408,NA,0.7258,0.1023,0.0459,0.0139,0.0052,0.0013,11220,21420,15781,22077,8652,42800,45415
Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,https://www.nacc.edu/,1,1,1,2,1,1,5,42,34.545471,-85.911664,NA,NA,1565,NA,0.7086,0.0192,0.1687,0.0045,0.016,0,4920,8670,4400,6100,3500,31700,34913
Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,https://www2.oakwood.edu/,1,1,3,4,2,1,5,12,34.756344,-86.652705,0.6805,NA,1378,NA,0.0094,0.7438,0.0943,0.0007,0.0022,0,20040,20040,21500,27000,18750,37400,42488
Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,www.rstc.edu/,1,1,1,2,1,1,5,41,31.460265,-86.964797,NA,NA,281,NA,0.3203,0.6299,0,0.0107,0.0107,0,4950,8700,,,PS,26800,28982
Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,www.bishop.edu/,1,1,1,2,1,1,5,12,30.693972,-88.056982,NA,NA,1943,NA,0.2337,0.667,0.0247,0.0139,0.0067,0.0015,4920,8670,,,PS,28300,29916
Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu/,1,1,3,4,2,1,5,21,33.464128,-86.791799,0.8326,1227,3668,NA,0.8506,0.0534,0.0409,0.0144,0.0008,0.0016,36725,36725,15750,19500,6500,59800,58469
Selma University,Selma,AL,36701,NA,https://selmauniversity.edu/,1,1,3,3,2,1,5,32,32.420387,-87.032392,NA,NA,30,NA,0,1,0,0,0,0,4800,4800,,,NA,PS,
Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,www.sheltonstate.edu/,1,1,2,2,1,1,5,13,33.120531,-87.56148,NA,NA,3257,NA,0.5063,0.4001,0.0439,0.0068,0.0018,0.0012,4980,8730,,,PS,31100,35014
Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,www.snead.edu/,1,1,2,2,1,1,5,32,34.201495,-86.169897,NA,NA,1494,NA,0.6821,0.0696,0.1968,0.0067,0.004,0,5408,9408,6450,9000,5500,30700,35735
University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu/,1,1,3,4,1,1,5,12,30.696033,-88.178711,0.6536,1118,8171,NA,0.6036,0.2224,0.0466,0.0405,0.0071,0.0011,9116,17732,17750,24929,9500,46800,49379
Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,https://www.shc.edu/,1,1,3,4,2,1,5,12,30.694751,-88.138199,0.7263,1094,932,NA,0.6062,0.1309,0.0944,0.015,0.0086,0.0011,21732,21732,21500,27000,19500,51300,51500
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,https://stillman.edu/,1,1,3,3,2,1,5,13,33.200006,-87.585278,0.6454,NA,727,NA,0.0275,0.9519,0.0069,0.0028,0.0028,0,11392,11392,16000,29067,13000,33700,35421
Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,www.talladega.edu/,1,1,3,4,2,1,5,32,33.433472,-86.112704,NA,NA,832,NA,0.0144,0.8389,0.0481,0,0.0048,0.0024,13866,13866,15000,28500,11000,23900,32229
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,www.trenholmstate.edu/,1,1,2,2,1,1,5,12,32.350109,-86.343057,NA,NA,1599,NA,0.1814,0.7273,0.0419,0.0094,0.0031,0.0013,4830,8580,,,PS,28000,32183
Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu/,1,4,3,4,1,1,5,33,31.799583,-85.95802,0.9484,1050,10316,NA,0.5303,0.3226,0.0457,0.0062,0.0026,0.0013,9312,18624,15985,25000,11000,41100,42062
Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu/,1,1,3,4,2,1,5,32,32.4309,-85.708492,0.2969,1091,2100,NA,0.0062,0.909,0.0186,0.0033,0.0033,0.02,22614,22614,21250,27000,10500,42200,49641
United States Sports Academy,Daphne,AL,36526-7055,Southern Association of Colleges and Schools Commission on Colleges,www.ussa.edu/,1,1,3,4,2,1,5,13,30.639329,-87.91163,1,NA,94,NA,0.383,0.2447,0.1383,0,0.0106,0,16418,16418,10976,PS,5596,PS,55257
Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,www.bscc.edu/,1,1,1,2,1,1,5,32,33.836929,-87.266406,NA,NA,2205,NA,0.7433,0.1741,0.0313,0.005,0.0032,0,5278,9278,,,PS,31300,34107
University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.uaa.alaska.edu/,1,1,3,4,1,2,8,11,61.190163,-149.82619,0.6532,NA,6778,NA,0.4923,0.036,0.1146,0.0937,0.051,0.0274,7508,21635,11231,20210,9500,51200,51871
Alaska Bible College,Palmer,AK,99645,Association for Biblical Higher Education,www.akbible.edu/,1,1,3,3,2,2,8,32,61.598553,-149.111972,NA,NA,31,NA,0.9032,0.0323,0,0,0,0,10900,10900,,,PS,NA,
University of Alaska Fairbanks,Fairbanks,AK,99775,Northwest Commission on Colleges and Universities,www.uaf.edu/,1,1,3,4,1,2,8,23,64.85756,-147.823146,NA,NA,4010,NA,0.5332,0.0334,0.096,0.0224,0.1302,0.009,7896,22032,11283,20291,9500,45100,48866
University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,www.uas.alaska.edu/,1,1,1,4,1,2,8,33,58.384846,-134.638255,0.6266,NA,964,NA,0.5498,0.0073,0.0882,0.0602,0.0954,0.0176,6960,21096,10500,19111,8928,39500,48475
Alaska Pacific University,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.alaskapacific.edu/,1,1,3,4,2,2,8,11,61.190968,-149.804168,0.9931,NA,457,NA,0.3282,0.0481,0.0153,0.0656,0.2757,0.0175,20760,20760,12696,23500,8250,45300,54271
Alaska Vocational Technical Center,Seward,AK,99664-0889,Council on Occupational Education,www.avtec.edu/,1,1,1,1,1,2,8,43,60.110626,-149.444487,NA,NA,202,NA,0.3515,0.0099,0.0297,0.0149,0.4257,0.005,NA,NA,5500,PS,PS,45600,51083
Charter College,Vancouver,WA,98683-7575,Accrediting Bureau of Health Education Schools,https://chartercollege.edu/,1,1,1,3,3,53,8,12,45.617798,-122.494766,NA,NA,2117,NA,0.4171,0.0822,0.1866,0.0321,0.1205,0.0298,17116,17116,11884,14176,6334,46400,35504
Alaska Career College,Anchorage,AK,99507-1033,Accrediting Commission of Career Schools and Colleges,www.alaskacareercollege.edu/,1,1,1,2,3,2,8,11,61.181443,-149.856954,NA,NA,268,NA,0.3022,0.1045,0.0821,0.1418,0.2388,0.0224,NA,NA,7199,7377,4750,32000,34468
Empire Beauty School-Tucson,Tucson,AZ,85716,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,10,1,1,3,4,6,11,32.235657,-110.927187,NA,NA,184,NA,0.2337,0.0761,0.5272,0.0109,0.0326,0,NA,NA,8028,13000,4750,24500,25073
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://carrington.edu/,1,5,1,2,3,4,6,11,33.565758,-112.104601,NA,NA,1047,NA,0.1738,0.0888,0.5654,0.0277,0.0372,0.0019,NA,NA,9298,9500,4845,27200,36718
Carrington College-Mesa,Mesa,AZ,85210-5005,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://carrington.edu/,0,5,1,2,3,4,6,11,33.39248,-111.853218,NA,NA,532,NA,0.2425,0.0677,0.4586,0.0301,0.0771,0.0038,NA,NA,9298,9500,4845,27200,36718
Carrington College-Tucson,Tucson,AZ,85745-2974,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://carrington.edu/,0,5,1,2,3,4,6,11,32.224391,-110.983056,NA,NA,446,NA,0.1749,0.0762,0.6188,0.0247,0.0314,0.0045,NA,NA,9298,9500,4845,27200,36718
Arizona Academy of Beauty,Tucson,AZ,85712,National Accrediting Commission of Career Arts and Sciences,www.arizonaacademy.com/,1,1,1,1,3,4,6,11,32.237253,-110.872305,NA,NA,34,NA,0.2353,0.2059,0.5,0.0294,0,0,NA,NA,4750,5250,4750,18800,21201
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,85301-3579,Accrediting Commission of Career Schools and Colleges,www.aai.edu/,0,20,1,1,3,4,6,21,33.537249,-112.157344,NA,NA,411,NA,0.2384,0.0973,0.4623,0.0049,0.1071,0.0097,NA,NA,10661,15917,6334,28100,31102
Brookline College-Phoenix,Phoenix,AZ,85021,Accrediting Bureau of Health Education Schools,www.brooklinecollege.edu/,1,4,3,4,3,4,6,11,33.566102,-112.112473,NA,NA,841,NA,0.2545,0.126,0.3246,0.0321,0.0702,0.0059,NA,NA,9500,9500,6306,23700,29576
Arizona State University Campus Immersion,Tempe,AZ,85287,Higher Learning Commission,www.asu.edu/,1,16,3,4,1,4,6,12,33.417721,-111.934383,0.8975,NA,64778,NA,0.4517,0.0429,0.2596,0.0877,0.0112,0.0021,11618,30592,13610,19500,9132,55500,62668
Arizona Western College,Yuma,AZ,85365-8834,Higher Learning Commission,https://www.azwestern.edu/,1,1,2,2,1,4,6,13,32.689306,-114.495968,NA,NA,7595,NA,0.1065,0.0124,0.6421,0.0071,0.0083,0.0012,2960,9770,4500,4826,4084,32000,36857
University of Arizona,Tucson,AZ,85721-0066,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.arizona.edu/,1,1,3,4,1,4,6,11,32.232672,-110.950815,0.8676,1229,37979,NA,0.4936,0.0414,0.2791,0.0526,0.013,0.0021,13275,39577,13750,19620,8250,56000,59979
Central Arizona College,Coolidge,AZ,85128-9030,Higher Learning Commission,www.centralaz.edu/,1,1,1,2,1,4,6,41,32.957092,-111.652501,NA,NA,4402,NA,0.3721,0.0684,0.4262,0.0216,0.0293,0.0052,1500,3000,6157,10010,5500,31500,40513
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,National Accrediting Commission of Career Arts and Sciences,www.charlesofitaly.edu/,1,1,1,1,3,4,6,13,34.477485,-114.332686,NA,NA,85,NA,0.4353,0.0471,0.2353,0.0118,0,0,NA,NA,7000,7388,PS,22600,26269
Cochise County Community College District,Sierra Vista,AZ,85635-2317,Higher Learning Commission,https://www.cochise.edu/,1,1,2,2,1,4,6,13,31.564597,-110.246946,NA,NA,3032,NA,0.3503,0.0521,0.503,0.0139,0.0076,0.0033,2184,6000,5500,6750,5500,34300,38033
Empire Beauty School-Chandler,Chandler,AZ,85224,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,13,1,1,3,4,6,11,33.347586,-111.860423,NA,NA,60,NA,0.15,0.25,0.2,0.0333,0.0667,0,NA,NA,7851,10667,4750,22000,23921
Avalon Institute-Mesa,Mesa,AZ,85210,National Accrediting Commission of Career Arts and Sciences,avalon.edu/mesa-az/,1,4,1,1,3,4,6,11,33.376583,-111.858305,NA,NA,383,NA,0.4595,0.1253,0.3316,0.0183,0.0183,0.0052,NA,NA,6312,6332,3167,23000,30803
Eastern Arizona College,Thatcher,AZ,85552-0769,Higher Learning Commission,www.eac.edu/,1,1,1,2,1,4,6,33,32.843664,-109.76234,NA,NA,2942,NA,0.6081,0.0197,0.2179,0.0099,0.0704,0.0041,2232,9192,,,PS,35700,38018
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,Southern Association of Colleges and Schools Commission on Colleges,prescott.erau.edu/,0,2,3,4,2,4,6,41,34.616766,-112.449741,0.68,1278,3114,NA,0.5768,0.0186,0.1506,0.061,0.0051,0.0051,40464,40464,14250,23666,8424,70300,84131
The School of Architecture,Paradise Valley,AZ,85253,Higher Learning Commission,https://tsoa.edu/,1,1,4,4,2,4,6,21,33.566649,-111.941953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PS,NA,
Glendale Community College,Glendale,AZ,85302,Higher Learning Commission,www.gccaz.edu/,1,1,1,2,1,4,6,21,33.570226,-112.190735,NA,NA,9807,NA,0.3556,0.0678,0.4337,0.0458,0.014,0.0018,2070,7854,4500,6960,4500,38300,43108
Grand Canyon University,Phoenix,AZ,85017,Higher Learning Commission,www.gcu.edu/,1,1,3,4,3,4,6,11,33.513231,-112.129929,0.7787,NA,65147,NA,0.4882,0.1528,0.2335,0.0291,0.0089,0.0066,17800,17800,12500,22114,6533,58500,42186
GateWay Community College,Phoenix,AZ,85034,Higher Learning Commission,www.gatewaycc.edu/,1,2,1,2,1,4,6,11,33.449686,-111.997077,NA,NA,3470,NA,0.2628,0.1141,0.5156,0.032,0.0285,0.0035,2070,7854,4500,6750,3500,39000,46147
Mesa Community College,Mesa,AZ,85202,Higher Learning Commission,www.mesacc.edu/,1,1,1,2,1,4,6,11,33.390323,-111.871255,NA,NA,11351,NA,0.4249,0.0598,0.3509,0.0432,0.0338,0.0036,2070,7854,4500,7473,4500,41500,44034
Mohave Community College,Kingman,AZ,86409-1238,Higher Learning Commission,https://www.mohave.edu/,1,1,1,2,1,4,6,41,35.270996,-114.029838,NA,NA,2791,NA,0.6181,0.015,0.2719,0.0147,0.0215,0.0025,2136,7008,8000,9700,6682,32900,35522
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,85323,Accrediting Commission of Career Schools and Colleges,www.uti.edu/,1,3,1,2,3,4,6,22,33.453005,-112.288123,NA,NA,658,NA,0.5684,0.0547,0.1717,0.003,0.0228,0.003,NA,NA,10247,13097,4750,41600,48341
Dine College,Tsaile,AZ,86556,Higher Learning Commission,https://www.dinecollege.edu/,1,1,2,3,1,4,6,43,36.293328,-109.21684,NA,NA,1361,NA,0.0066,0.0015,0.0015,0.0007,0.9831,0.0007,1410,1410,,,PS,23400,29188
Northern Arizona University,Flagstaff,AZ,86011-4092,Higher Learning Commission,https://nau.edu/,1,1,3,4,1,4,6,13,35.188449,-111.653724,0.7999,NA,23090,NA,0.5574,0.0289,0.2634,0.0306,0.0292,0.0026,12274,27536,12916,19000,8250,44600,54384
Northland Pioneer College,Holbrook,AZ,86025-0610,Higher Learning Commission,www.npc.edu/,1,1,1,2,1,4,6,41,34.93031,-110.142199,NA,NA,1075,NA,0.3516,0.0047,0.1405,0.013,0.3805,0.0009,2428,9851,,,PS,31300,34199
Phoenix College,Phoenix,AZ,85013,Higher Learning Commission,www.phoenixcollege.edu/,1,1,1,2,1,4,6,11,33.481361,-112.088293,NA,NA,6588,NA,0.2187,0.0953,0.5686,0.0269,0.0234,0.0005,2070,7854,5250,6750,4750,36000,40870
Pima Community College,Tucson,AZ,85709-1275,Higher Learning Commission,www.pima.edu/,1,1,1,2,1,4,6,11,32.222125,-110.886659,NA,NA,13328,NA,0.3349,0.0512,0.5082,0.0281,0.0181,0.0031,2298,7614,4500,7000,3500,35000,39810
Pima Medical Institute-Tucson,Tucson,AZ,85712,Accrediting Bureau of Health Education Schools,https://pmi.edu/,1,13,2,3,3,4,6,11,32.248067,-110.878783,NA,NA,2477,NA,0.3242,0.0969,0.4029,0.0521,0.0226,0.0113,NA,NA,9500,9500,4750,30600,38673
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,Accrediting Bureau of Health Education Schools,https://pmi.edu/,1,2,1,2,3,35,6,11,35.104855,-106.59488,NA,NA,690,NA,0.1565,0.0246,0.5029,0.0203,0.1957,0.0058,NA,NA,5250,5500,3455,PS,30917
